PARTIDO,UF,PREFEITO,VICE-PREFEITO,VEREADOR
PSOL,MG,0,0,4
PSTU,MG,0,0,0
PT,MG,28,39,368
PTB,MG,38,42,417
PTC,MG,1,6,66
PV,MG,17,23,226
REDE,MG,1,2,44
REPUBLICANOS,MG,41,28,388
SOLIDARIEDADE,MG,22,36,306
UP,MG,0,0,0
AVANTE,MS,0,0,1
CIDADANIA,MS,0,0,1
DC,MS,0,0,0
DEM,MS,14,19,125
MDB,MS,7,11,116
NOVO,MS,0,0,0
PATRIOTA,MS,3,2,31
PC do B,MS,0,0,0
PCB,MS,0,0,0
PCO,MS,0,0,0
PDT,MS,1,5,49
PL,MS,1,2,10
PMB,MS,0,0,0
PMN,MS,0,0,1
PODE,MS,2,0,35
PP,MS,3,2,28
PROS,MS,0,0,0
PRTB,MS,0,0,0
PSB,MS,1,0,21
PSC,MS,0,0,2
PSD,MS,4,10,83
PSDB,MS,37,16,234
PSL,MS,0,1,16
PSOL,MS,1,0,1
PSTU,MS,0,0,0
PT,MS,0,0,26
PTB,MS,1,4,32
PTC,MS,0,0,0
PV,MS,0,0,0
REDE,MS,0,1,2
REPUBLICANOS,MS,0,1,18
SOLIDARIEDADE,MS,0,1,15
UP,MS,0,0,0
AVANTE,MT,0,0,0
CIDADANIA,MT,1,1,10
DC,MT,0,0,10
DEM,MT,24,17,204
MDB,MT,23,12,182
NOVO,MT,0,0,0
PATRIOTA,MT,4,8,24
PC do B,MT,0,0,0
PCB,MT,0,0,0
PCO,MT,0,0,0
PDT,MT,8,8,61
PL,MT,8,9,89
PMB,MT,0,1,0
PMN,MT,0,0,0
PODE,MT,5,6,66
PP,MT,9,9,101
PROS,MT,1,2,26
PRTB,MT,1,0,9
PSB,MT,13,8,142
PSC,MT,2,11,57
PSD,MT,9,13,89
PSDB,MT,11,9,98
PSL,MT,4,3,37
PSOL,MT,0,0,0
PSTU,MT,0,0,0
PT,MT,1,3,20
PTB,MT,2,3,25
PTC,MT,0,0,0
PV,MT,0,4,18
REDE,MT,0,0,0
REPUBLICANOS,MT,5,7,71
SOLIDARIEDADE,MT,8,5,65
UP,MT,0,0,0
AVANTE,PA,1,1,30
CIDADANIA,PA,0,2,24
DC,PA,0,0,4
DEM,PA,5,6,84
MDB,PA,56,21,330
NOVO,PA,0,0,0
PATRIOTA,PA,0,5,10
PC do B,PA,0,0,10
PCB,PA,0,0,0
PCO,PA,0,0,0
PDT,PA,2,7,66
PL,PA,15,12,147
PMB,PA,0,0,0
PMN,PA,1,0,8
PODE,PA,4,1,43
PP,PA,0,0,31
PROS,PA,0,5,27
PRTB,PA,1,1,9
PSB,PA,4,6,68
PSC,PA,5,11,129
PSD,PA,18,25,135
PSDB,PA,13,10,139
PSL,PA,0,1,8
PSOL,PA,1,0,6
PSTU,PA,0,0,0
PT,PA,2,7,73
PTB,PA,5,7,72
PTC,PA,0,1,2
PV,PA,0,0,20
REDE,PA,0,0,2
REPUBLICANOS,PA,1,5,69
SOLIDARIEDADE,PA,1,1,19
UP,PA,0,0,0
AVANTE,PB,6,11,70
CIDADANIA,PB,41,39,329
DC,PB,0,0,2
DEM,PB,25,22,231
MDB,PB,10,15,139
NOVO,PB,0,0,0
PATRIOTA,PB,0,1,8
PC do B,PB,0,0,17
PCB,PB,0,0,0
PCO,PB,0,0,0
PDT,PB,15,9,96
PL,PB,22,14,192
PMB,PB,0,0,2
PMN,PB,0,0,9
PODE,PB,5,6,46
PP,PB,22,19,239
PROS,PB,3,4,50
PRTB,PB,0,0,6
PSB,PB,4,7,90
PSC,PB,2,4,29
PSD,PB,12,9,105
PSDB,PB,27,22,198
PSL,PB,0,0,16
PSOL,PB,0,0,0
PSTU,PB,0,0,0
PT,PB,1,1,18
PTB,PB,6,11,75
PTC,PB,0,0,2
PV,PB,0,1,13
REDE,PB,0,2,17
REPUBLICANOS,PB,17,19,174
SOLIDARIEDADE,PB,3,5,25
UP,PB,0,0,0
AVANTE,PE,10,14,114
CIDADANIA,PE,2,4,36
DC,PE,0,0,0
DEM,PE,9,15,120
MDB,PE,20,16,203
NOVO,PE,0,0,0
PATRIOTA,PE,0,2,26
PC do B,PE,2,3,28
PCB,PE,0,0,0
PCO,PE,0,0,0
PDT,PE,3,7,59
PL,PE,9,4,76
PMB,PE,0,0,1
PMN,PE,0,0,6
PODE,PE,3,6,50
PP,PE,16,8,181
PROS,PE,0,2,21
PRTB,PE,0,0,11
PSB,PE,52,38,480
PSC,PE,1,4,41
PSD,PE,14,13,184
PSDB,PE,5,9,60
PSL,PE,5,3,54
PSOL,PE,0,0,3
PSTU,PE,0,0,0
PT,PE,5,7,74
PTB,PE,6,5,75
PTC,PE,0,0,21
PV,PE,0,1,8
REDE,PE,0,1,1
REPUBLICANOS,PE,13,8,114
SOLIDARIEDADE,PE,1,6,56
UP,PE,0,0,0
AVANTE,PI,0,0,1
CIDADANIA,PI,0,0,5
DC,PI,1,1,5
DEM,PI,2,1,15
MDB,PI,36,39,351
NOVO,PI,0,0,0
PATRIOTA,PI,0,0,2
PC do B,PI,0,0,10
PCB,PI,0,0,0
PCO,PI,0,0,0
PDT,PI,1,1,3
PL,PI,7,12,75
PMB,PI,0,0,0
PMN,PI,0,0,0
PODE,PI,0,0,1
PP,PI,83,58,578
PROS,PI,0,0,3
PRTB,PI,0,0,0
PSB,PI,4,12,64
PSC,PI,0,0,2
PSD,PI,40,28,377
PSDB,PI,1,3,28
PSL,PI,0,2,15
PSOL,PI,0,0,0
PSTU,PI,0,0,0
PT,PI,23,30,308
PTB,PI,15,15,156
PTC,PI,0,0,0
PV,PI,0,1,6
REDE,PI,0,0,0
REPUBLICANOS,PI,10,17,105
SOLIDARIEDADE,PI,0,3,34
UP,PI,0,0,0
AVANTE,PR,1,1,12
CIDADANIA,PR,14,11,149
DC,PR,0,1,7
DEM,PR,25,23,209
MDB,PR,28,32,387
NOVO,PR,0,0,2
PATRIOTA,PR,2,3,29
PC do B,PR,0,0,0
PCB,PR,0,0,0
PCO,PR,0,0,0
PDT,PR,17,18,169
PL,PR,28,31,252
PMB,PR,0,0,2
PMN,PR,1,1,5
PODE,PR,16,12,171
PP,PR,21,33,298
PROS,PR,7,13,130
PRTB,PR,0,2,12
PSB,PR,16,24,241
PSC,PR,22,16,214
PSD,PR,129,67,655
PSDB,PR,17,22,170
PSL,PR,24,35,244
PSOL,PR,0,0,2
PSTU,PR,0,0,0
PT,PR,8,9,121
PTB,PR,8,17,134
PTC,PR,0,1,23
PV,PR,4,7,65
REDE,PR,0,0,4
REPUBLICANOS,PR,5,9,87
SOLIDARIEDADE,PR,1,6,27
UP,PR,0,0,0
AVANTE,RJ,2,1,36
CIDADANIA,RJ,4,4,62
DC,RJ,0,1,21
DEM,RJ,10,8,91
MDB,RJ,7,5,83
NOVO,RJ,0,0,1
PATRIOTA,RJ,0,3,30
PC do B,RJ,0,0,7
PCB,RJ,0,0,0
PCO,RJ,0,0,0
PDT,RJ,4,1,52
PL,RJ,9,10,92
PMB,RJ,1,0,11
PMN,RJ,0,0,3
PODE,RJ,2,4,18
PP,RJ,11,6,91
PROS,RJ,1,3,28
PRTB,RJ,0,0,21
PSB,RJ,0,1,13
PSC,RJ,10,7,95
PSD,RJ,6,6,83
PSDB,RJ,1,4,32
PSL,RJ,0,7,37
PSOL,RJ,0,0,12
PSTU,RJ,0,0,0
PT,RJ,1,3,20
PTB,RJ,3,0,32
PTC,RJ,0,1,12
PV,RJ,1,2,17
REDE,RJ,1,0,6
REPUBLICANOS,RJ,5,5,75
SOLIDARIEDADE,RJ,9,6,84
UP,RJ,0,0,0
AVANTE,RN,0,1,7
CIDADANIA,RN,0,3,13
DC,RN,0,0,1
DEM,RN,17,16,131
MDB,RN,38,29,313
NOVO,RN,0,0,0
PATRIOTA,RN,0,0,3
PC do B,RN,0,0,9
PCB,RN,0,0,0
PCO,RN,0,0,0
PDT,RN,1,5,13
PL,RN,20,17,180
PMB,RN,0,0,0
PMN,RN,0,0,1
PODE,RN,0,0,1
PP,RN,13,11,132
PROS,RN,5,3,40
PRTB,RN,0,0,1
PSB,RN,5,11,114
PSC,RN,0,2,41
PSD,RN,18,16,140
PSDB,RN,31,24,246
PSL,RN,0,0,3
PSOL,RN,1,1,11
PSTU,RN,0,0,0
PT,RN,3,10,42
PTB,RN,0,1,11
PTC,RN,0,0,0
PV,RN,0,1,5
REDE,RN,0,0,0
REPUBLICANOS,RN,10,10,97
SOLIDARIEDADE,RN,2,3,52
UP,RN,0,0,0
AVANTE,RO,0,0,7
CIDADANIA,RO,0,0,1
DC,RO,0,0,1
DEM,RO,8,5,52
MDB,RO,9,6,72
NOVO,RO,0,0,0
PATRIOTA,RO,3,1,15
PC do B,RO,0,0,1
PCB,RO,0,0,0
PCO,RO,0,0,0
PDT,RO,3,6,43
PL,RO,0,1,4
PMB,RO,0,0,0
PMN,RO,0,0,3
PODE,RO,3,4,35
PP,RO,6,6,33
PROS,RO,1,2,9
PRTB,RO,0,0,0
PSB,RO,3,4,40
PSC,RO,0,0,6
PSD,RO,7,3,48
PSDB,RO,3,4,29
PSL,RO,0,2,13
PSOL,RO,0,0,0
PSTU,RO,0,0,0
PT,RO,1,1,15
PTB,RO,0,0,25
PTC,RO,0,0,0
PV,RO,3,2,12
REDE,RO,0,0,0
REPUBLICANOS,RO,2,5,43
SOLIDARIEDADE,RO,0,0,13
UP,RO,0,0,0
AVANTE,RR,0,0,1
CIDADANIA,RR,0,1,5
DC,RR,0,0,1
DEM,RR,0,0,2
MDB,RR,3,1,27
NOVO,RR,0,0,0
PATRIOTA,RR,0,0,5
PC do B,RR,0,0,0
PCB,RR,0,0,0
PCO,RR,0,0,0
PDT,RR,0,0,0
PL,RR,1,0,8
PMB,RR,0,0,1
PMN,RR,0,0,0
PODE,RR,0,0,0
PP,RR,1,2,9
PROS,RR,0,2,11
PRTB,RR,0,0,3
PSB,RR,0,0,0
PSC,RR,0,0,1
PSD,RR,2,2,10
PSDB,RR,0,0,3
PSL,RR,0,0,2
PSOL,RR,0,0,0
PSTU,RR,0,0,0
PT,RR,0,0,0
PTB,RR,0,0,1
PTC,RR,0,0,1
PV,RR,0,1,3
REDE,RR,1,1,2
REPUBLICANOS,RR,3,2,29
SOLIDARIEDADE,RR,4,3,32
UP,RR,0,0,0
AVANTE,RS,0,0,1
CIDADANIA,RS,2,4,30
DC,RS,0,0,0
DEM,RS,15,13,114
MDB,RS,135,125,1134
NOVO,RS,0,0,6
PATRIOTA,RS,0,0,7
PC do B,RS,0,0,13
PCB,RS,0,0,0
PCO,RS,0,0,0
PDT,RS,65,71,692
PL,RS,10,13,84
PMB,RS,0,0,0
PMN,RS,0,0,0
PODE,RS,1,2,9
PP,RS,143,121,1258
PROS,RS,0,0,0
PRTB,RS,0,0,9
PSB,RS,18,24,220
PSC,RS,0,0,4
PSD,RS,6,8,99
PSDB,RS,31,31,232
PSL,RS,7,8,37
PSOL,RS,0,0,6
PSTU,RS,0,0,0
PT,RS,23,32,390
PTB,RS,32,33,361
PTC,RS,0,0,0
PV,RS,0,0,3
REDE,RS,0,0,2
REPUBLICANOS,RS,6,8,100
SOLIDARIEDADE,RS,0,1,7
UP,RS,0,0,0
AVANTE,SC,0,0,5
CIDADANIA,SC,1,3,36
DC,SC,0,1,2
DEM,SC,7,5,58
MDB,SC,96,68,824
NOVO,SC,1,1,9
PATRIOTA,SC,1,0,12
PC do B,SC,0,1,2
PCB,SC,0,0,0
PCO,SC,0,0,0
PDT,SC,3,6,68
PL,SC,28,44,286
PMB,SC,0,0,0
PMN,SC,0,0,0
PODE,SC,3,7,78
PP,SC,52,50,505
PROS,SC,0,0,2
PRTB,SC,0,0,2
PSB,SC,1,3,24
PSC,SC,1,1,21
PSD,SC,42,34,367
PSDB,SC,32,25,262
PSL,SC,13,19,132
PSOL,SC,0,0,3
PSTU,SC,0,0,0
PT,SC,11,19,158
PTB,SC,0,0,4
PTC,SC,0,0,0
PV,SC,0,0,0
REDE,SC,0,0,0
REPUBLICANOS,SC,1,5,27
SOLIDARIEDADE,SC,0,1,3
UP,SC,0,0,0
AVANTE,SE,1,0,9
CIDADANIA,SE,2,2,32
DC,SE,0,0,0
DEM,SE,3,4,50
MDB,SE,9,3,85
NOVO,SE,0,0,0
PATRIOTA,SE,0,0,1
PC do B,SE,0,0,3
PCB,SE,0,0,0
PCO,SE,0,0,0
PDT,SE,2,1,29
PL,SE,8,8,67
PMB,SE,0,0,0
PMN,SE,0,0,5
PODE,SE,0,2,19
PP,SE,8,2,73
PROS,SE,0,0,4
PRTB,SE,0,0,0
PSB,SE,4,3,40
PSC,SE,8,5,68
PSD,SE,20,23,183
PSDB,SE,0,1,5
PSL,SE,0,1,3
PSOL,SE,0,0,3
PSTU,SE,0,0,0
PT,SE,6,7,65
PTB,SE,0,0,3
PTC,SE,0,0,0
PV,SE,0,4,9
REDE,SE,0,0,1
REPUBLICANOS,SE,2,3,26
SOLIDARIEDADE,SE,2,6,22
UP,SE,0,0,0
AVANTE,SP,2,2,72
CIDADANIA,SP,25,22,249
DC,SP,0,1,10
DEM,SP,69,78,715
MDB,SP,55,68,660
NOVO,SP,0,0,6
PATRIOTA,SP,9,14,102
PC do B,SP,1,2,13
PCB,SP,0,0,0
PCO,SP,0,0,0
PDT,SP,5,8,158
PL,SP,41,53,490
PMB,SP,0,0,1
PMN,SP,0,0,8
PODE,SP,20,33,344
PP,SP,32,32,350
PROS,SP,1,5,31
PRTB,SP,0,4,34
PSB,SP,15,18,260
PSC,SP,6,5,89
PSD,SP,65,49,574
PSDB,SP,173,99,1208
PSL,SP,9,14,159
PSOL,SP,1,1,24
PSTU,SP,0,0,0
PT,SP,4,9,135
PTB,SP,51,43,470
PTC,SP,0,0,9
PV,SP,16,23,230
REDE,SP,0,3,17
REPUBLICANOS,SP,22,25,382
SOLIDARIEDADE,SP,4,15,145
UP,SP,0,0,0
AVANTE,TO,2,3,9
CIDADANIA,TO,2,8,44
DC,TO,0,1,1
DEM,TO,26,11,187
MDB,TO,23,17,221
NOVO,TO,0,0,0
PATRIOTA,TO,0,0,5
PC do B,TO,0,1,1
PCB,TO,0,0,0
PCO,TO,0,0,0
PDT,TO,1,2,11
PL,TO,6,6,53
PMB,TO,0,0,0
PMN,TO,0,0,0
PODE,TO,1,5,31
PP,TO,7,12,79
PROS,TO,2,2,13
PRTB,TO,0,0,5
PSB,TO,1,2,13
PSC,TO,6,8,72
PSD,TO,22,24,132
PSDB,TO,2,1,13
PSL,TO,3,5,31
PSOL,TO,0,0,0
PSTU,TO,0,0,0
PT,TO,4,3,40
PTB,TO,10,10,121
PTC,TO,0,0,0
PV,TO,5,5,52
REDE,TO,0,0,1
REPUBLICANOS,TO,1,6,31
SOLIDARIEDADE,TO,15,7,141
UP,TO,0,0,0
